;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
100;RL;0.109001;13.382198214530945;48.0;1.673;8.75;3.338;0.529;1.581;40.0;0.656;6.0;50.0;2.31;11.0;50;70
101;OR-Tools;0.245968;13.9266489;48.0;1.741;9.75;2.726;0.599;1.165;42.0;0.632;8.0;50.0;2.371;11.0;50;70
102;RL;0.114994;12.727086186408997;44.0;1.591;8.75;12.694;0.634;3.196;13.0;0.382;2.0;50.0;2.341;12.0;51;70
103;OR-Tools;0.391755;13.046745299999998;44.0;1.631;9.75;11.187;0.716;3.151;17.0;0.277;3.0;50.0;2.611;14.0;51;70
104;RL;0.099003;15.861689686775208;44.222;1.762;7.778;11.925;0.523;2.489;13.0;0.796;2.0;50.0;2.397;11.0;52;70
105;OR-Tools;0.331081;15.980051799999998;49.75;1.998;9.75;0.707;0.508;0.886;48.0;1.344;9.0;50.0;2.915;11.0;52;70
106;RL;0.09615;13.624129951000214;46.25;1.703;8.75;7.44;0.559;1.982;28.0;0.717;5.0;50.0;2.48;12.0;53;70
107;OR-Tools;0.436715;14.0830394;46.25;1.76;9.75;7.888;0.53;1.165;27.0;0.818;8.0;50.0;2.628;12.0;53;70
108;RL;0.130711;11.945940971374512;44.125;1.493;8.75;7.434;0.328;1.389;31.0;1.08;8.0;50.0;2.083;12.0;54;70
109;OR-Tools;0.368128;11.6868844;44.125;1.461;9.75;8.871;0.319;1.581;24.0;0.997;7.0;50.0;1.891;12.0;54;70
110;RL;0.113969;15.394817173480988;44.222;1.711;7.778;12.597;0.562;2.774;11.0;0.699;2.0;50.0;2.376;11.0;55;70
111;OR-Tools;0.545805;14.894453799999999;44.222;1.655;8.778;11.088;0.714;2.906;17.0;0.372;3.0;50.0;2.52;12.0;55;70
112;RL;0.122995;12.81174099445343;40.75;1.601;8.75;15.443;0.731;4.132;12.0;0.335;2.0;50.0;2.403;14.0;56;70
113;OR-Tools;0.3544;13.189793500000002;46.571;1.884;11.0;8.203;0.64;2.769;28.0;0.937;7.0;50.0;2.6;16.0;56;70
114;RL;0.111951;14.081453323364258;44.625;1.76;8.75;9.164;0.481;2.315;23.0;1.146;6.0;50.0;2.698;13.0;57;70
115;OR-Tools;0.390722;13.9640768;44.625;1.746;9.75;6.823;0.647;2.915;29.0;0.672;5.0;49.0;2.571;14.0;57;70
116;RL;0.116995;12.53433609008789;47.571;1.791;10.0;2.149;0.64;2.309;45.0;0.716;7.0;50.0;2.499;14.0;58;70
117;OR-Tools;0.383496;12.057989899999999;47.571;1.723;11.0;2.878;0.776;2.517;43.0;0.662;8.0;50.0;2.715;16.0;58;70
118;RL;0.107963;14.900608956813812;43.889;1.656;7.778;13.932;0.671;2.906;7.0;0.346;1.0;50.0;2.564;10.0;59;70
119;OR-Tools;0.344662;15.016979399999999;49.375;1.877;9.75;1.408;0.541;1.165;46.0;1.204;9.0;50.0;2.636;12.0;59;70
120;RL;0.100962;11.777401506900787;45.286;1.682;10.0;6.422;0.478;2.769;33.0;0.869;6.0;50.0;2.286;14.0;60;70
121;OR-Tools;0.25904;11.4211136;45.286;1.632;11.0;6.849;0.472;1.732;32.0;0.794;9.0;50.0;2.14;13.0;60;70
122;RL;0.126034;12.907904863357544;43.625;1.613;8.75;7.11;0.563;2.493;29.0;0.639;5.0;50.0;2.426;12.0;61;70
123;OR-Tools;0.375637;13.4263238;43.625;1.678;9.75;8.417;0.699;2.121;29.0;0.626;6.0;50.0;2.943;13.0;61;70
124;RL;0.111963;12.792454205453396;42.75;1.599;8.75;14.782;0.781;3.576;7.0;0.081;1.0;50.0;2.348;13.0;62;70
125;OR-Tools;0.329085;13.552128100000001;48.857;1.936;11.0;2.268;0.642;1.414;44.0;0.916;9.0;50.0;2.907;13.0;62;70
126;RL;0.103956;14.125559091567993;44.25;1.766;8.75;7.611;0.618;2.816;26.0;0.818;3.0;49.0;2.623;12.0;63;70
127;OR-Tools;0.303054;14.150344100000002;44.25;1.769;9.75;14.31;0.867;3.37;9.0;0.391;2.0;50.0;3.252;13.0;63;70
128;RL;0.102006;12.295712172985077;40.778;1.366;7.778;13.971;0.532;2.863;11.0;0.638;4.0;50.0;2.347;12.0;64;70
129;OR-Tools;0.302626;11.9001448;45.875;1.488;9.75;8.887;0.508;2.315;24.0;0.729;5.0;50.0;2.432;12.0;64;70
130;RL;0.101997;12.202828288078308;41.556;1.356;7.778;14.275;0.608;3.153;16.0;0.277;2.0;50.0;1.965;11.0;65;70
131;OR-Tools;0.308541;12.5637582;46.75;1.57;9.75;5.701;0.63;2.053;33.0;0.599;7.0;50.0;2.393;13.0;65;70
132;RL;0.113964;12.38994413614273;44.0;1.549;8.75;13.416;0.607;2.915;11.0;0.829;5.0;50.0;2.558;14.0;66;70
133;OR-Tools;0.418089;12.1639536;44.0;1.52;9.75;11.904;0.701;3.77;15.0;0.298;3.0;50.0;2.644;16.0;66;70
134;RL;0.12096;11.174858391284943;46.125;1.397;8.75;5.139;0.517;2.121;38.0;0.646;6.0;50.0;2.098;11.0;67;70
135;OR-Tools;0.375036;11.172845899999999;46.125;1.397;9.75;4.357;0.468;1.982;38.0;0.87;8.0;50.0;2.127;13.0;67;70
136;RL;0.107602;12.761552393436432;43.857;1.823;10.0;5.699;0.695;2.38;33.0;0.744;6.0;48.0;2.7;12.0;68;70
137;OR-Tools;0.414919;12.332116499999998;43.857;1.762;11.0;8.572;0.676;3.266;26.0;0.786;6.0;50.0;2.596;16.0;68;70
138;RL;0.112999;13.701754555106163;41.889;1.522;7.778;15.712;0.69;3.383;4.0;0.162;1.0;50.0;2.22;12.0;69;70
139;OR-Tools;0.27404;13.81395;47.125;1.727;9.75;5.083;0.602;1.909;35.0;0.625;6.0;50.0;2.398;12.0;69;70
140;RL;0.105994;12.211744964122772;46.5;1.526;8.75;3.295;0.416;2.252;41.0;0.765;5.0;50.0;2.083;12.0;70;70
141;OR-Tools;0.352196;11.2086133;46.5;1.401;9.75;4.14;0.361;2.435;37.0;0.917;6.0;50.0;1.96;13.0;70;70
142;RL;0.095961;12.553654611110687;42.125;1.569;8.75;14.035;0.654;3.655;10.0;0.346;2.0;50.0;2.172;14.0;71;70
143;OR-Tools;0.331036;13.7632947;48.143;1.966;11.0;2.545;0.614;2.082;43.0;1.161;9.0;50.0;2.89;15.0;71;70
144;RL;0.101017;11.765662521123886;42.875;1.471;8.75;11.167;0.558;2.816;16.0;0.321;2.0;50.0;1.966;11.0;72;70
145;OR-Tools;0.369001;10.8637002;49.0;1.552;11.0;1.826;0.384;1.732;45.0;1.033;9.0;50.0;1.968;14.0;72;70
146;RL;0.110995;12.735025584697723;41.444;1.415;7.778;11.717;0.574;2.539;22.0;0.611;4.0;50.0;2.196;12.0;73;70
147;OR-Tools;0.379054;13.000922899999999;46.625;1.625;9.75;4.838;0.561;1.035;35.0;0.824;8.0;50.0;2.335;11.0;73;70
148;RL;0.120977;11.690787971019745;46.286;1.67;10.0;3.988;0.552;3.109;39.0;0.797;6.0;50.0;2.286;14.0;74;70
149;OR-Tools;0.376036;11.2802291;46.286;1.611;11.0;5.376;0.584;3.464;35.0;0.782;7.0;50.0;2.51;16.0;74;70
150;RL;0.099998;12.885704159736633;46.714;1.841;10.0;4.231;0.535;2.582;39.0;1.096;6.0;50.0;2.502;13.0;75;70
151;OR-Tools;0.378143;12.7766542;46.714;1.825;11.0;5.469;0.678;2.309;35.0;0.912;7.0;50.0;2.791;13.0;75;70
152;RL;0.10602;12.805880844593048;42.625;1.601;8.75;10.267;0.552;2.605;19.0;0.82;3.0;50.0;2.168;11.0;76;70
153;OR-Tools;0.33305;12.2070288;48.714;1.744;11.0;1.38;0.449;0.816;47.0;1.324;10.0;50.0;2.644;12.0;76;70
154;RL;0.138963;13.570482611656189;46.5;1.696;8.75;4.472;0.417;1.753;36.0;1.175;6.0;50.0;2.536;12.0;77;70
155;OR-Tools;0.331002;13.4502396;46.5;1.681;9.75;7.54;0.48;1.832;28.0;0.996;6.0;50.0;2.377;11.0;77;70
156;RL;0.116985;14.06370061635971;42.75;1.758;8.75;13.74;0.691;2.765;10.0;0.419;3.0;50.0;2.64;12.0;78;70
