;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
85;OR-Tools;0.901038;22.155928799999998;49.3;2.216;11.0;1.252;0.6;2.494;47.0;1.338;8.0;50.0;3.184;15.0;42;100
86;RL;0.134968;15.830816864967346;47.9;1.583;10.0;1.595;0.576;3.197;46.0;0.915;6.0;50.0;2.734;17.0;43;100
87;OR-Tools;0.461055;16.460701099999998;47.9;1.646;11.0;5.953;0.694;2.494;31.0;0.371;6.0;50.0;2.977;15.0;43;100
88;RL;0.158996;18.847543954849243;48.9;1.885;10.0;1.37;0.493;1.563;46.0;1.188;8.0;50.0;2.84;13.0;44;100
89;OR-Tools;0.507071;19.5754045;48.9;1.958;11.0;1.197;0.583;1.414;46.0;1.094;9.0;50.0;3.029;14.0;44;100
90;RL;0.14296;19.363469049334526;42.0;1.489;7.692;14.566;0.649;3.066;8.0;0.119;1.0;50.0;2.406;11.0;45;100
91;OR-Tools;0.45178;19.9238019;49.636;1.811;10.091;0.809;0.607;1.3;48.0;0.674;8.0;50.0;3.141;13.0;45;100
92;RL;0.143961;21.165692806243896;45.0;1.924;9.091;11.747;0.715;2.914;10.0;0.336;2.0;50.0;2.835;12.0;46;100
93;OR-Tools;0.742782;20.402850800000003;49.5;2.04;11.0;1.08;0.685;2.211;47.0;0.748;8.0;50.0;2.822;15.0;46;100
94;RL;0.156995;16.718533873558044;43.667;1.393;8.333;10.637;0.616;2.807;15.0;0.569;3.0;50.0;2.505;12.0;47;100
95;OR-Tools;0.851454;17.9913048;47.636;1.636;10.091;4.61;0.607;1.973;34.0;0.86;7.0;50.0;2.696;14.0;47;100
96;RL;0.136998;17.622597128152847;44.0;1.602;9.091;10.08;0.654;2.914;23.0;0.389;4.0;50.0;2.434;13.0;48;100
97;OR-Tools;0.626404;17.965795099999998;48.4;1.797;11.0;2.319;0.641;1.563;44.0;0.976;9.0;50.0;2.71;14.0;48;100
98;RL;0.154964;17.046736240386963;45.909;1.55;9.091;10.348;0.559;3.081;15.0;0.708;3.0;50.0;2.529;14.0;49;100
99;OR-Tools;0.868369;16.9600286;45.909;1.542;10.091;7.752;0.621;2.166;28.0;0.682;6.0;50.0;2.714;13.0;49;100
100;RL;0.162962;15.132250368595123;43.917;1.261;8.333;11.626;0.434;2.839;8.0;0.167;1.0;50.0;1.77;12.0;50;100
101;OR-Tools;0.761223;14.5185703;47.909;1.32;10.091;3.33;0.277;1.814;39.0;0.761;6.0;50.0;1.86;13.0;50;100
102;RL;0.154517;16.309261441230774;46.545;1.483;9.091;7.244;0.487;2.548;25.0;0.735;4.0;50.0;2.138;13.0;51;100
103;OR-Tools;0.617027;16.908604899999997;46.545;1.537;10.091;7.917;0.649;2.663;23.0;0.357;4.0;50.0;2.691;14.0;51;100
104;RL;0.141351;18.975710272789;41.917;1.581;8.333;16.384;0.731;3.75;5.0;0.172;1.0;50.0;2.605;14.0;52;100
105;OR-Tools;0.785707;19.0615955;45.727;1.733;10.091;10.031;0.746;3.048;16.0;0.242;3.0;50.0;3.05;14.0;52;100
106;RL;0.155037;14.224173784255981;47.0;1.293;9.091;3.924;0.234;1.7;39.0;0.897;7.0;50.0;1.627;12.0;53;100
107;OR-Tools;0.614679;14.024125100000001;47.0;1.275;10.091;4.98;0.407;1.814;33.0;0.543;6.0;50.0;1.717;13.0;53;100
108;RL;0.141995;19.498802334070206;45.917;1.625;8.333;8.339;0.644;2.103;23.0;0.428;3.0;50.0;2.454;10.0;54;100
109;OR-Tools;0.851742;20.3849415;45.917;1.699;9.333;7.775;0.71;2.348;28.0;0.395;5.0;50.0;2.621;12.0;54;100
110;RL;0.161393;16.596321865916252;44.909;1.509;9.091;12.357;0.658;3.208;8.0;0.223;1.0;50.0;2.41;14.0;55;100
111;OR-Tools;0.519786;16.8219224;49.4;1.682;11.0;1.35;0.611;1.333;46.0;0.994;9.0;50.0;2.848;14.0;55;100
112;RL;0.165966;16.09277766942978;45.091;1.463;9.091;8.154;0.565;3.208;27.0;0.699;4.0;50.0;2.169;14.0;56;100
113;OR-Tools;0.398001;17.7463959;49.6;1.775;11.0;0.699;0.558;1.414;48.0;0.869;9.0;50.0;2.773;14.0;56;100
114;RL;0.141869;15.492312669754028;46.273;1.408;9.091;7.538;0.515;2.343;25.0;0.615;4.0;50.0;1.983;12.0;57;100
115;OR-Tools;0.807842;15.588686800000001;46.273;1.417;10.091;6.944;0.582;2.3;28.0;0.486;5.0;50.0;2.181;13.0;57;100
116;RL;0.159534;14.992877334356308;43.818;1.363;9.091;12.098;0.666;3.3;9.0;0.137;1.0;50.0;2.241;13.0;58;100
117;OR-Tools;0.870001;16.6387332;48.2;1.664;11.0;2.15;0.624;2.211;43.0;0.853;8.0;50.0;2.401;14.0;58;100
118;RL;0.145965;21.588349550962448;45.333;1.799;8.333;11.672;0.648;2.774;9.0;0.173;1.0;50.0;2.731;12.0;59;100
119;OR-Tools;0.758556;22.9603805;49.455;2.087;10.091;0.688;0.515;1.578;48.0;1.355;9.0;50.0;2.807;14.0;59;100
120;RL;0.170484;16.494527846574783;43.091;1.5;9.091;12.747;0.664;3.39;14.0;0.264;3.0;50.0;2.183;14.0;60;100
121;OR-Tools;0.578653;16.7333428;47.4;1.673;11.0;5.816;0.591;2.449;31.0;0.445;6.0;50.0;2.351;14.0;60;100
122;RL;0.147967;15.284488022327423;48.1;1.528;10.0;1.524;0.435;2.055;45.0;0.832;8.0;50.0;2.197;14.0;61;100
123;OR-Tools;0.464037;15.7500067;48.1;1.575;11.0;3.542;0.548;2.108;39.0;0.77;8.0;50.0;2.495;14.0;61;100
124;RL;0.151962;14.569336503744125;45.273;1.324;9.091;12.076;0.542;2.948;9.0;0.051;1.0;50.0;2.064;12.0;62;100
125;OR-Tools;0.554011;16.1776804;49.8;1.618;11.0;0.422;0.664;2.0;49.0;0.66;8.0;50.0;2.605;15.0;62;100
126;RL;0.153982;19.316199839115143;47.091;1.756;9.091;6.441;0.579;2.212;28.0;0.595;5.0;50.0;2.459;13.0;63;100
127;OR-Tools;0.724045;19.454472;47.091;1.769;10.091;8.677;0.627;3.113;21.0;0.463;4.0;50.0;2.524;15.0;63;100
128;RL;0.173993;20.401837840676308;45.545;1.855;9.091;13.808;0.743;2.948;4.0;0.122;1.0;50.0;2.808;12.0;64;100
129;OR-Tools;0.930633;20.417652200000003;45.545;1.856;10.091;11.44;0.785;2.773;12.0;0.125;3.0;50.0;2.773;14.0;64;100
130;RL;0.137965;16.34828943014145;44.182;1.486;9.091;9.704;0.506;2.914;17.0;0.483;2.0;50.0;2.229;13.0;65;100
131;OR-Tools;0.784485;16.8546231;48.6;1.685;11.0;3.777;0.518;1.491;38.0;0.846;9.0;50.0;2.373;13.0;65;100
132;RL;0.134212;17.310454159975052;44.833;1.443;8.333;12.848;0.507;2.741;5.0;0.473;1.0;50.0;2.171;12.0;66;100
133;OR-Tools;0.505362;18.377355700000003;48.909;1.671;10.091;2.7;0.501;1.514;41.0;0.733;8.0;50.0;2.331;13.0;66;100
134;RL;0.135974;14.66855674982071;48.8;1.467;10.0;1.687;0.488;2.789;45.0;0.574;7.0;50.0;2.226;15.0;67;100
135;OR-Tools;0.549123;15.770357200000003;48.8;1.577;11.0;2.15;0.55;1.826;43.0;0.625;8.0;50.0;2.467;14.0;67;100
136;RL;0.160801;15.27860426902771;47.0;1.389;9.091;3.768;0.319;1.64;37.0;1.027;7.0;50.0;1.894;13.0;68;100
137;OR-Tools;0.614214;15.4178779;47.0;1.402;10.091;4.96;0.44;1.921;35.0;0.656;6.0;50.0;2.11;14.0;68;100
138;RL;0.146965;14.757172703742981;46.0;1.342;9.091;6.542;0.419;1.514;27.0;0.776;7.0;50.0;1.896;11.0;69;100
139;OR-Tools;0.691588;14.882513799999998;46.0;1.353;10.091;7.239;0.451;2.256;25.0;0.602;5.0;50.0;1.868;14.0;69;100
140;RL;0.18398;19.594138264656067;44.917;1.633;8.333;9.366;0.548;2.015;23.0;0.72;4.0;50.0;2.392;11.0;70;100
141;OR-Tools;0.769629;19.7897985;49.0;1.799;10.091;2.683;0.634;1.221;41.0;0.904;9.0;50.0;2.592;12.0;70;100
142;RL;0.140085;15.651187419891357;44.667;1.304;8.333;7.303;0.412;2.348;24.0;0.696;4.0;50.0;2.0;12.0;71;100
143;OR-Tools;0.603666;16.017551;48.727;1.456;10.091;3.901;0.559;2.427;37.0;0.599;8.0;50.0;2.409;16.0;71;100
144;RL;0.164963;17.311341881752014;45.818;1.574;9.091;11.583;0.494;2.773;11.0;0.471;2.0;50.0;2.182;13.0;72;100
145;OR-Tools;0.583825;17.097836800000003;45.818;1.554;10.091;10.313;0.53;2.548;15.0;0.27;3.0;50.0;2.09;13.0;72;100
146;RL;0.240001;18.01834386587143;44.455;1.638;9.091;9.321;0.683;2.948;23.0;0.407;3.0;50.0;2.619;12.0;73;100
147;OR-Tools;0.732002;19.067008;48.9;1.907;11.0;1.912;0.5;1.944;44.0;1.222;8.0;50.0;3.094;13.0;73;100
148;RL;0.200961;14.26285195350647;45.455;1.297;9.091;7.929;0.399;2.914;23.0;0.476;3.0;50.0;1.815;13.0;74;100
149;OR-Tools;0.699883;15.632222200000003;45.455;1.421;10.091;12.786;0.511;2.879;7.0;0.185;2.0;50.0;2.04;13.0;74;100
150;RL;0.190997;17.65735524892807;47.0;1.605;9.091;5.639;0.569;2.343;33.0;0.95;5.0;50.0;2.579;13.0;75;100
151;OR-Tools;0.657081;17.444936000000002;47.0;1.586;10.091;8.649;0.51;2.548;21.0;0.694;5.0;50.0;2.38;13.0;75;100
152;RL;0.165965;14.408040642738342;45.455;1.31;9.091;9.678;0.349;2.914;17.0;0.573;2.0;50.0;1.692;12.0;76;100
153;OR-Tools;0.761005;14.701575999999998;45.455;1.337;10.091;7.84;0.331;2.587;29.0;0.671;6.0;50.0;1.717;14.0;76;100
154;RL;0.146029;17.97572886943817;46.455;1.634;9.091;9.812;0.652;2.468;17.0;0.288;2.0;50.0;2.431;11.0;77;100
155;OR-Tools;0.588;18.447772;46.455;1.677;10.091;8.165;0.808;2.508;22.0;0.254;4.0;50.0;3.356;14.0;77;100
156;RL;0.142962;19.693525433540344;43.636;1.79;9.091;10.689;0.662;3.448;20.0;0.594;3.0;50.0;2.535;14.0;78;100
157;OR-Tools;0.662082;19.2730225;48.0;1.927;11.0;3.333;0.67;1.491;39.0;0.566;9.0;50.0;2.695;13.0;78;100
158;RL;0.16497;15.966432809829712;47.5;1.597;10.0;2.506;0.514;2.261;42.0;0.712;7.0;50.0;2.344;13.0;79;100
